customer_segment_id,segment_name,segment_tier,risk_band,segment_payload_json
8cb92a07-8f4b-669b-9986-fc11cc616d7b,emerging_affluent,TIER_3,HIGH,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""assisted"", ""review_cycle_days"": 138, ""pricing_profile"": ""preferential""}"
5b4025b6-c06d-efbb-48d9-d1cfe29c0014,high_net_worth,TIER_1,LOW,"{""segment_model"": ""wealth_behavior_scorecard"", ""primary_objective"": ""cross_sell"", ""service_level"": ""concierge"", ""review_cycle_days"": 173, ""pricing_profile"": ""relationship_pricing""}"
69442afc-6ca4-e2f0-7213-ea0ed50142b7,emerging_affluent,TIER_3,HIGH,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""assisted"", ""review_cycle_days"": 131, ""pricing_profile"": ""preferential""}"
6425e5ab-7515-e194-341e-7ab7783ea6ab,emerging_affluent,TIER_3,HIGH,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""assisted"", ""review_cycle_days"": 129, ""pricing_profile"": ""preferential""}"
68d572cc-efa5-02c1-aac7-65dc0235896a,high_net_worth,TIER_1,MEDIUM,"{""segment_model"": ""wealth_behavior_scorecard"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""concierge"", ""review_cycle_days"": 114, ""pricing_profile"": ""relationship_pricing""}"
558b3f99-bb87-1c0e-d0f4-176ba6a24ed2,emerging_affluent,TIER_4,VERY_HIGH,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""aum_growth"", ""service_level"": ""self_service"", ""review_cycle_days"": 148, ""pricing_profile"": ""standard""}"
8524c90b-25d9-84ec-17a5-21a0015821d3,mass_affluent,TIER_3,HIGH,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""cross_sell"", ""service_level"": ""assisted"", ""review_cycle_days"": 63, ""pricing_profile"": ""preferential""}"
9b6a0491-183e-5ed2-3639-19dfcc832667,mass_affluent,TIER_3,MEDIUM,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""assisted"", ""review_cycle_days"": 143, ""pricing_profile"": ""preferential""}"
cae9aeb6-4738-aee4-568c-353a9e2b4390,high_net_worth,TIER_2,MEDIUM,"{""segment_model"": ""rm_judgement_overlay"", ""primary_objective"": ""deposit_growth"", ""service_level"": ""advisory"", ""review_cycle_days"": 164, ""pricing_profile"": ""preferential""}"
45be5abc-5692-b8f2-e06f-2a142e3cc448,mass_affluent,TIER_3,MEDIUM,"{""segment_model"": ""retail_value_model_v2"", ""primary_objective"": ""credit_uplift"", ""service_level"": ""assisted"", ""review_cycle_days"": 65, ""pricing_profile"": ""preferential""}"
